YEAR(Integer),DIV1(Double),DIV2(Double),DIV3(Double),DIV4(Double),DIV7(Double),DIV9(Double),X(Double),FEMALECANDIDATES(Double),FEMALEDIV1(Double),FEMALEDIV2(Double)
2011,99.4,0.6,0,0,0,0,0,176,99.4,0.6
2011,99.3,0,0,0,0,0,0.7,0,0,0
2011,153,98.7,1.3,0,0,0,0,0,153,98.7
2011,222,97.3,2.7,0,0,0,0,0,113,94.7
2011,97.3,2.7,0,0,0,0,0,0,0,0
2011,164,97,3,0,0,0,0,0,0,0
2011,218,96.3,3.2,0,0,0,0,0.5,74,98.6
2011,25,96,4,0,0,0,0,0,25,96
2011,192,95.3,4.7,0,0,0,0,0,192,95.3
2011,440,94.5,5,0,0,0.2,0,0.2,216,92.1
2011,94.4,4.4,0,0,0,0,1.2,0,0,0
2011,202,94.1,1.5,0.5,0,0,0,4,0,0
2011,90.2,9.8,0,0,0,0,0,0,0,0
2011,89.8,10.2,0,0,0,0,0,226,89.8,10.2
2011,192,88.5,10.9,0,0,0.5,0,0,192,88.5
2011,222,87.8,11.7,0.5,0,0,0,0,100,83
2011,87.8,12.2,0,0,0,0,0,0,0,0
2011,87.7,10.8,0.5,0,0,0,1,88,80.7,18.2
2011,15,86.7,13.3,0,0,0,0,0,0,0
2011,86.1,13.9,0,0,0,0,0,20,80,20
2011,85.6,12.9,1.5,0,0,0,0,202,85.6,12.9
2011,85.5,14,0,0,0,0,0.4,116,78.4,21.6
2011,149,85.2,13.4,1.3,0,0,0,0,63,73
2011,85,14.1,0.5,0,0,0,0.5,0,0,0
2011,84.6,15.4,0,0,0,0,0,240,84.6,15.4
2011,83.6,13.4,1.9,0.8,0,0,0.4,90,76.7,18.9
2011,82.7,17.3,0,0,0,0,0,20,75,25
2011,82.4,17.1,0.5,0,0,0,0,87,79.3,19.5
2011,121,81.8,15.7,1.7,0,0,0,0.8,52,71.2
2011,39,79.5,20.5,0,0,0,0,0,0,0
2011,78.5,20,1.5,0,0,0,0,0,0,0
2011,78.4,21.6,0,0,0,0,0,190,78.4,21.6
2011,115,73,25.2,0.9,0,0,0,0.9,0,0
2011,240,72.9,24.6,2.5,0,0,0,0,95,70.5
2011,50,72,24,4,0,0,0,0,50,72
2011,35,71.4,28.6,0,0,0,0,0,0,0
2011,70.7,26.9,2.1,0,0,0,0.4,112,66.1,31.3
2011,70.2,25.8,3,0.5,0,0,0.5,88,58,35.2
2011,79,69.6,30.4,0,0,0,0,0,38,65.8
2011,68.7,28.8,2.1,0,0,0,0.4,231,68.8,28.6
2011,68.1,26.4,4.6,0.3,0,0,0.7,150,60,30
2011,62,67.7,30.6,0,0,0,0,1.6,23,47.8
2011,66.1,28.6,4.8,0,0,0,0.5,0,0,0
2011,65.9,31.7,0,0,0,0,2.4,16,31.3,68.8
2011,65.7,22.9,11.4,0,0,0,0,15,53.3,33.3
2011,64.8,27.7,6.6,0,0,0,0.9,94,58.5,27.7
2011,102,64.7,30.4,4.9,0,0,0,0,0,0
2011,174,63.8,31,4.6,0.6,0,0,0,0,0
2011,22,63.6,27.3,4.5,4.5,0,0,0,0,0
2011,107,63.6,33.6,1.9,0,0,0,0.9,58,63.8
2011,183,61.7,31.1,6.6,0,0,0,0.5,0,0
2011,47,61.7,36.2,2.1,0,0,0,0,0,0
2011,60.6,34.5,4.2,0,0,0,0.7,76,53.9,42.1
2011,53,60.4,35.8,1.9,0,0,0,1.9,0,0
2011,25,60,32,8,0,0,0,0,0,0
2011,59.3,33.3,7.4,0,0,0,0,17,47.1,47.1
2011,59.1,27,9.8,2.8,0,0.5,0.9,99,58.6,27.3
2011,43,58.1,23.3,4.7,0,0,0,14,18,50
2011,148,57.4,30.4,8.8,0.7,0,0,2.7,148,57.4
2011,132,56.8,37.1,6.1,0,0,0,0,60,48.3
2011,202,55.9,36.1,6.4,0.5,0,0,1,103,50.5
2011,53.2,36.4,8.4,1.9,0,0,0,0,0,0
2011,52.9,35.3,11.8,0,0,0,0,0,0,0
2011,69,52.2,42,4.3,0,0,0,1.4,24,33.3
2011,72,51.4,26.4,12.5,6.9,0,1.4,1.4,25,36
2011,129,51.2,45.7,3.1,0,0,0,0,0,0
2011,50.5,45.1,2.2,1.1,0,0,1.1,15,40,40
2011,50,38.4,11.6,0,0,0,0,43,39.5,44.2
2011,112,50,36.6,13.4,0,0,0,0,55,41.8
2011,281,49.8,34.5,11.7,3.6,0,0,0.4,0,0
2011,164,49.4,42.1,6.1,2.4,0,0,0,68,30.9
2011,124,48.4,38.7,12.1,0,0.8,0,0,56,35.7
2011,180,48.3,44.4,6.7,0.6,0,0,0,98,46.9
2011,48.1,37.7,11.7,1.3,0,0,1.3,66,28.8,51.5
2011,47.9,47.9,2.1,1,0,0,1,0,0,0
2011,47.5,47.5,4.1,0.3,0.3,0,0.3,137,41.6,54
2011,47.1,52.9,0,0,0,0,0,3,0,100
2011,46.7,48.9,4.4,0,0,0,0,135,46.7,48.9
2011,46.3,41.1,12.6,0,0,0,0,0,0,0
2011,46.2,47,6,0,0,0,0.9,234,46.2,47
2011,46.1,42.5,9.6,1.8,0,0,0,70,32.9,50
2011,24,45.8,41.7,8.3,0,0,0,4.2,14,42.9
2011,177,45.8,46.3,5.6,1.7,0.6,0,0,0,0
2011,45.7,46.3,5.7,1.8,0,0,0.4,172,38.4,50
2011,110,45.5,45.5,7.3,1.8,0,0,0,52,30.8
2011,45.3,49.1,4.3,0,0,0,1.2,40,35,62.5
2011,18,44.4,38.9,11.1,0,0,0,5.6,0,0
2011,43.5,49.1,7.4,0,0,0,0,17,17.6,76.5
2011,104,43.3,50,6.7,0,0,0,0,59,30.5
2011,42.7,48.2,7.3,0.9,0,0,0.9,188,43.6,49.5
2011,42.1,32.6,20,5.3,0,0,0,43,39.5,32.6
2011,130,41.5,46.9,9.2,1.5,0,0,0.8,0,0
2011,84,40.5,52.4,3.6,2.4,0,0,1.2,84,40.5
2011,190,40,52.1,6.8,0,0,0,1.1,78,20.5
2011,113,39.8,38.9,19.5,0.9,0,0,0.9,0,0
2011,39.5,39.5,21.1,0,0,0,0,38,39.5,39.5
2011,28,39.3,53.6,7.1,0,0,0,0,0,0
2011,23,39.1,39.1,17.4,4.3,0,0,0,0,0
2011,87,39.1,49.4,9.2,1.1,0,1.1,0,43,32.6
2011,39,52.4,6.7,0,0,0,1.9,35,31.4,57.1
2011,39,43.9,9.8,0,0,0,7.3,16,18.8,56.3
2011,160,38.8,51.9,9.4,0,0,0,0,97,24.7
2011,75,38.7,54.7,6.7,0,0,0,0,35,17.1
2011,172,38.4,42.4,15.7,3.5,0,0,0,0,0
2011,123,38.2,50.4,11.4,0,0,0,0,123,38.2
2011,37.2,48,10.8,2.7,0,0,1.4,0,0,0
2011,27,37,55.6,7.4,0,0,0,0,19,31.6
2011,98,36.7,54.1,6.1,1,0,0,2,98,36.7
2011,36.4,40.9,9.1,9.1,0,0,4.5,8,37.5,25
2011,157,36.3,32.5,22.9,8.3,0,0,0,70,27.1
2011,135,36.3,52.6,9.6,1.5,0,0,0,67,25.4
2011,103,35.9,50.5,11.7,0,0,0,1.9,50,22
2011,35.8,38.1,17.6,8.5,0,0,0,89,25.8,40.4
2011,70,35.7,45.7,14.3,4.3,0,0,0,32,31.3
2011,34.7,36.1,25,4.2,0,0,0,39,25.6,35.9
2011,34.5,41.4,20.7,0,0,0,3.4,11,0,72.7
2011,34.3,51.4,12.6,1.7,0,0,0,175,34.3,51.4
2011,34.3,39.8,17.6,6.5,0,0,1.9,106,25.5,43.4
2011,41,34.1,36.6,19.5,7.3,0,2.4,0,20,15
2011,97,34,42.3,17.5,6.2,0,0,0,54,24.1
2011,33.8,41.8,19.4,4.6,0,0,0.4,62,25.8,54.8
